Year,Date,Setlist
1968,02/17/68,good morning little school girl:
1968,02/23/68,cold rain and snow:good morning little school girl:alligator:china cat sunflower:born cross-eyed:
1968,02/24/68,dark star:china cat sunflower:turn on your love light:
1968,03/03/68,viola lee blues:smokestack lightning:turn on your love light:it hurts me too:
1968,03/11/68,cryptical envelopment:the other one:cryptical envelopment:new potato caboose:born cross-eyed:caution (do not stop on tracks) jam:
1968,03/16/68,dark star:china cat sunflower:the eleven:good morning little school girl:it hurts me too:cryptical envelopment:the other one:cryptical envelopment:alligator:drums:alligator:caution (do not stop on tracks):feedback:and we bid you goodnight:morning dew:
1968,03/17/68,dark star:born cross-eyed:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:china cat sunflower:the eleven:caution (do not stop on tracks):
1968,03/26/68,good morning little school girl:death don't have no mercy:sitting on top of the world:dark star:
1968,03/29/68,new potato caboose:alligator:drums:alligator:caution (do not stop on tracks):
1968,03/30/68,morning dew:cryptical envelopment:the other one:cryptical envelopment:dark star:china cat sunflower:the eleven:turn on your love light:born cross-eyed:feedback:spanish jam:death don't have no mercy:turn on your love light:beat it on down the line:dancin' in the streets:
1968,04/03/68,cryptical envelopment:the other one:cryptical envelopment:new potato caboose:born cross-eyed:alligator:drums:alligator:caution (do not stop on tracks):
1968,05/03/68,cold rain and snow:sitting on top of the world:
1968,05/08/68,viola lee blues:
1968,05/09/68,he was a friend of mine:
1968,05/18/68,alligator:drums:alligator:caution (do not stop on tracks):feedback:
1968,06/07/68,st. stephen:dark star:
1968,06/14/68,the eleven:st. stephen:alligator:turn on your love light:caution (do not stop on tracks):drums:caution (do not stop on tracks):
1968,06/15/68,feedback:the eleven:st. stephen:alligator:turn on your love light:caution (do not stop on tracks):feedback:
1968,06/19/68,turn on your love light:drums:not fade away:turn on your love light:jam:the main ten:jam:dark star jam:the other one jam::
1968,08/20/68,dark star:st. stephen:death don't have no mercy:
1968,08/21/68,cryptical envelopment:drums:the other one:cryptical envelopment:good morning little school girl:alligator:dark star:st. stephen:the eleven:death don't have no mercy:turn on your love light:midnight hour:
1968,08/22/68,st. stephen:death don't have no mercy:turn on your love light:dark star:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:alligator:drums:alligator:caution (do not stop on tracks):feedback:and we bid you goodnight:
1968,08/23/68,cryptical envelopment:the other one:cryptical envelopment:dark star:st. stephen:the eleven:death don't have no mercy:alligator:drums:alligator:caution (do not stop on tracks):
1968,08/24/68,good morning little school girl:dark star:st. stephen:the eleven:death don't have no mercy:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:turn on your love light:morning dew:
1968,08/28/68,dark star:st. stephen:the eleven:death don't have no mercy:turn on your love light:good morning little school girl:
1968,09/02/68,dark star:st. stephen:cryptical envelopment:the other one:cryptical envelopment:alligator:drums:alligator:caution (do not stop on tracks):
1968,09/05/68,st. stephen:
1968,09/06/68,st. stephen:whats become of the baby:
1968,09/10/68,st. stephen:
1968,09/11/68,st. stephen:whats become of the baby:
1968,09/13/68,st. stephen:
1968,09/20/68,alligator:drums:
1968,09/29/68,st. stephen:
1968,10/02/68,whats become of the baby:
1968,10/03/68,barbed wire whipping party:whats become of the baby:barbed wire whipping party:
1968,10/04/68,clementine:barbed wire whipping party:
1968,10/07/68,clementine:barbed wire whipping party:
1968,10/08/68,death don't have no mercy:the seven:dark star jam:the other one:
1968,10/09/68,jam:it's a sin:next time you see me:the rub:look over yonder's wall:new potato caboose:turn on your love light:caution (do not stop on tracks):the other one:death don't have no mercy:dark star jam:the eleven:the seven:
1968,10/10/68,turn on your love light:alligator:the other one:death don't have no mercy:dark star jam:
1968,10/12/68,dark star:st. stephen:the eleven:death don't have no mercy:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:thirteens jam:drums:caution (do not stop on tracks):feedback:
1968,10/13/68,dark star:st. stephen:the eleven:death don't have no mercy:cryptical envelopment:drums:the other one:cryptical envelopment:new potato caboose:
1968,10/20/68,good morning little school girl:turn on your love light:dark star:st. stephen:the eleven:caution (do not stop on tracks):feedback:
1968,10/30/68,dark star:death letter blues:the other one:turn on your love light:the seven:death don't have no mercy:jam:prisoner blues:dark star jam:
1968,11/01/68,alligator:drums:alligator:caution (do not stop on tracks):dark star:cryptical envelopment:drums:the other one:cryptical envelopment:new potato caboose:and we bid you goodnight:
1968,11/05/68,clementine:
1968,11/06/68,turn on your love light:dark star:st. stephen:the eleven:
1968,11/10/68,morning dew:
1968,11/22/68,morning dew:good morning little school girl:dark star:st. stephen:the eleven:turn on your love light:cryptical envelopment:the other one:cryptical envelopment:the other one jam:new potato caboose:and we bid you goodnight:
1968,12/01/68,and we bid you goodnight:
1968,12/07/68,dark star:st. stephen:the eleven jam:death don't have no mercy:cryptical envelopment:the other one:cryptical envelopment:new potato caboose:rosemary:he was a friend of mine:it hurts me too:morning dew:and we bid you goodnight:
1968,12/10/68,turn on your love light:dark star:st. stephen:st. stephen:the eleven:the eleven:
1968,12/16/68,jam:jam:
1968,12/20/68,the eleven:mountains of the moon:turn on your love light::
1968,12/21/68,turn on your love light:cryptical envelopment:the other one:cryptical envelopment:it hurts me too:alligator:drums:alligator:feedback:caution (do not stop on tracks):and we bid you goodnight:
1968,12/29/68,turn on your love light:dark star:st. stephen:the eleven:drums:the other one:cryptical envelopment:and we bid you goodnight:
1968,12/31/68,midnight hour:dark star:st. stephen:the eleven:turn on your love light:
1969,01/06/69,mountains of the moon:
1969,01/15/69,doin' that rag:mountains of the moon:
1969,01/17/69,turn on your love light:dark star:st. stephen:the eleven:death don't have no mercy:cryptical envelopment:drums:the other one:cryptical envelopment:cosmic charlie:
1969,01/20/69,dupree's diamond blues:china cat sunflower:
