Year,Date,Setlist
1970,07/12/70,dire wolf:the rub:how long blues:dark hollow:friend of the devil:any wonder:candyman:katie mae:she's mine:rosalie mcfall:cocaine blues:wake up little susie:easy wind:mama tried:attics of my life:china cat sunflower:i know you rider:it's a man's world:cold rain and snow:high time:cryptical envelopment:drums:the other one:me and my uncle:the other one:dancin' in the streets:turn on your love light:
1970,07/14/70,don't ease me in:friend of the devil:dire wolf:dark hollow:candyman:black peter:how long blues:deep elem blues:cumberland blues:new speedway boogie:the frozen logger:casey jones:el paso:china cat sunflower:i know you rider:easy wind:me and my uncle:cryptical envelopment:drums:the other one:cryptical envelopment:cosmic charlie:
1970,07/16/70,turn on your love light:me and my uncle:cold rain and snow:china cat sunflower:i know you rider:candyman:turn on your love light:casey jones:attics of my life:cumberland blues:not fade away:st. stephen:uncle john's band:
1970,07/30/70,to lay me down:dire wolf:candyman:rosalie mcfall:i hear a voice callin:swing low sweet chariot:
1970,08/05/70,candyman:el paso:rosalie mcfall:cocaine blues:drink up and go home:i hear a voice callin:cold jordan:swing low sweet chariot:deep elem blues:dark hollow:friend of the devil:mama tried:to lay me down:dire wolf:the ballad of casey jones:
1970,08/17/70,casey jones:
1970,08/18/70,truckin':dire wolf:friend of the devil:dark hollow:ripple:brokedown palace:operator:rosalie mcfall:new speedway boogie:cold jordan:swing low sweet chariot:dancin' in the streets:next time you see me:mama tried:cryptical envelopment:drums:the other one:cryptical envelopment:sugar magnolia:attics of my life:it's a man's world:not fade away:casey jones:uncle john's band:
1970,08/19/70,monkey and the engineer:how long blues:friend of the devil:dark hollow:candyman:ripple:brokedown palace:truckin':cocaine blues:rosalie mcfall:cumberland blues:wake up little susie:new speedway boogie:cold jordan:swing low sweet chariot:cold rain and snow:me and my uncle:easy wind:china cat sunflower:i know you rider:st. stephen:sugar magnolia:good lovin':minglewood blues:casey jones:not fade away:turn on your love light:
1970,08/30/70,easy wind:candyman:casey jones:brokedown palace:uncle john's band:
1970,09/17/70,deep elem blues:truckin':to lay me down:dark star:st. stephen:good lovin':drums:good lovin':
1970,09/18/70,sugar magnolia:candyman:cryptical envelopment:drums:the other one:cryptical envelopment:brokedown palace:it's a man's world:till the morning comes:me and my uncle:operator:dancin' in the streets:st. stephen:not fade away:good lovin':drums:good lovin':and we bid you goodnight:
1970,09/19/70,morning dew:me and my uncle:good morning little school girl:cold rain and snow:easy wind:sugar magnolia:dark star:st. stephen:not fade away:darkness jam:turn on your love light:
1970,09/20/70,uncle john's band:deep elem blues:friend of the devil:big railroad blues:dark hollow:ripple:to lay me down:truckin':rosalie mcfall:cumberland blues:new speedway boogie:brokedown palace:casey jones:china cat sunflower:i know you rider:candyman:sitting on top of the world:good lovin':drums:good lovin':big boy pete:me and my uncle:easy wind:sugar magnolia:attics of my life:mama tried:not fade away:caution (do not stop on tracks):and we bid you goodnight:
1970,09/25/70,casey jones:me and my uncle:i'm a king bee:cryptical envelopment:drums:the other one:cryptical envelopment:high time:dark star:cosmic charlie:alligator:drums:turn on your love light:morning dew:and we bid you goodnight:
1970,09/26/70,i know you rider:ripple:candyman:friend of the devil:big boss man:uncle john's band:casey jones:morning dew:
1970,10/04/70,truckin':till the morning comes:brokedown palace:next time you see me:cold rain and snow:china cat sunflower:i know you rider:good lovin':drums:good lovin':sugar magnolia:casey jones:uncle john's band:
1970,10/05/70,dancin' in the streets:turn on your love light:
1970,10/10/70,truckin':deep elem blues:hard to handle:sugar magnolia:candyman:cryptical envelopment:drums:the other one:not fade away:goin' down the road feeling bad:not fade away:casey jones:cold rain and snow:me and my uncle:good lovin':drums:good lovin':minglewood blues:cumberland blues:uncle john's band:
1970,10/11/70,casey jones:mama tried:till the morning comes:dancin' in the streets:candyman:morning dew:beat it on down the line:china cat sunflower:i know you rider:dark star:st. stephen:not fade away:goin' down the road feeling bad:not fade away:uncle john's band:
1970,10/16/70,morning dew:casey jones:st. stephen:not fade away:turn on your love light:good lovin':uncle john's band:
1970,10/18/70,casey jones:me and my uncle:morning dew:mama tried:cumberland blues:good lovin':
1970,10/23/70,casey jones:mama tried:hard to handle:china cat sunflower:i know you rider:sugar magnolia:candyman:good lovin':drums:good lovin':me and my uncle:truckin':drums:the other one:not fade away:goin' down the road feeling bad:not fade away:uncle john's band:
1970,10/24/70,dancin' in the streets:it hurts me too:me and my uncle:friend of the devil:cold rain and snow:attics of my life:good lovin':drums:good lovin':casey jones:st. stephen:not fade away:goin' down the road feeling bad:not fade away:turn on your love light:
1970,10/30/70,smokestack lightning:beat it on down the line:china cat sunflower:i know you rider:friend of the devil:truckin':candyman:it hurts me too:dancin' in the streets:big railroad blues:st. stephen:not fade away:goin' down the road feeling bad:not fade away:turn on your love light:
1970,10/30/70,cold rain and snow:truckin':sugar magnolia:next time you see me:me and my uncle:drums:good lovin':drums:cumberland blues:good lovin':casey jones:
1970,10/31/70,casey jones:sugar magnolia:next time you see me:cryptical envelopment:drums:the other one:cryptical envelopment:cosmic charlie:big boss man:mama tried:china cat sunflower:hard to handle:drums:good lovin':drums:good lovin':st. stephen:not fade away:goin' down the road feeling bad:not fade away:
1970,10/31/70,till the morning comes:hard to handle:mama tried:china cat sunflower:i know you rider:dire wolf:cold rain and snow:me and my uncle:dark hollow:brokedown palace:viola lee blues:cumberland blues:uncle john's band:
1970,11/05/70,sitting on top of the world:hard to handle:mama tried:truckin':drums:the other one:dark star:st. stephen:not fade away:goin' down the road feeling bad:not fade away:turn on your love light:
1970,11/06/70,don't ease me in:deep elem blues:dark hollow:friend of the devil:the rub:black peter:el paso:brokedown palace:alligator:drums:not fade away:goin' down the road feeling bad:not fade away:caution (do not stop on tracks):turn on your love light:
1970,11/06/70,casey jones:me and my uncle:i'm a king bee:china cat sunflower:i know you rider:truckin':candyman:sugar magnolia:good lovin':drums:the main ten:good lovin':
1970,11/07/70,deep elem blues:monkey and the engineer:big railroad blues:operator:el paso:how long blues:ripple:brokedown palace:uncle john's band:cumberland blues:cold rain and snow:it hurts me too:beat it on down the line:truckin':drums:the other one:casey jones:attics of my life:sugar magnolia:big boss man:mama tried:china cat sunflower:i know you rider:king bee:good lovin':
1970,11/07/70,cold rain and snow:casey jones:i'm a king bee:easy wind:minglewood blues:cryptical envelopment:drums:the other one:cryptical envelopment:sugar magnolia:china cat sunflower:i know you rider:
1970,11/08/70,dire wolf:i know you rider:dark hollow:rosalie mcfall:el paso:operator:ripple:friend of the devil:wake up little susie:uncle john's band:morning dew:me and my uncle:mystery train:my babe:around and around:new orleans:searchin':it's all over now baby blue:casey jones:truckin':dark star:the main ten:dancin' in the streets:not fade away:goin' down the road feeling bad:not fade away:good lovin':drums:good lovin':
1970,11/09/70,attics of my life:mama tried:walkin' the dog:minglewood blues:morning dew:deep elem blues:
1970,11/11/70,hard to handle:truckin':minglewood blues:china cat sunflower:i know you rider:sugar magnolia:candyman:new orleans:cumberland blues:brokedown palace:not fade away:
1970,11/16/70,good lovin':
1970,11/20/70,cold rain and snow:me and my uncle:next time you see me:china cat sunflower:i know you rider:sugar magnolia:friend of the devil:mama tried:drums:good lovin':drums:good lovin':cumberland blues:candyman:truckin':drums:the other one:st. stephen:not fade away:goin' down the road feeling bad:not fade away:i'm a king bee:casey jones:it's all over now:jam:around and around:jam:darlin corey:jam:jam:uncle john's band:
1970,11/21/70,el paso:big river:i know you rider:jam:dark hollow:angie:let me in:
1970,11/21/70,casey jones:candyman:mama tried:easy wind:st. stephen:cryptical envelopment:drums:the other one:cryptical envelopment:cosmic charlie:uncle john's band:
1970,11/23/70,casey jones:friend of the devil:cold rain and snow:i'm a king bee:china cat sunflower:i know you rider:mama tried:truckin':drums:the other one:hard to handle:big railroad blues:not fade away:goin' down the road feeling bad:not fade away:uncle john's band:turn on your love light:
1970,11/27/70,casey jones:turn on your love light:
1970,11/29/70,don't ease me in:cumberland blues:beat it on down the line:next time you see me:morning dew:brokedown palace:me and bobby mcgee:truckin':drums:the other one:me and my uncle:casey jones:dire wolf:good lovin':drums:good lovin':sugar magnolia:not fade away:goin' down the road feeling bad:not fade away:
1970,12/10/70,alabama bound:eight miles high:cowboy movie:wall song:bertha:bird song:
1970,12/12/70,me and my uncle:truckin':brokedown palace:hard to handle:mama tried:china cat sunflower:i know you rider:big railroad blues:i'm a king bee:sugar magnolia:casey jones:dire wolf:cryptical envelopment:drums:the other one:cryptical envelopment:not fade away:goin' down the road feeling bad:darkness jam:not fade away:good lovin':drums:good lovin':uncle john's band:
1970,12/15/70,drop down mama:cowboy movie:triad:wall song:bertha:deep elem blues:motherless children:laughing:
1970,12/23/70,deep elem blues:me and bobby mcgee:hard to handle:candyman:me and my uncle:cold rain and snow:dancin' in the streets:uncle john's band:
1970,12/26/70,cold rain and snow:mama tried:the frozen logger:easy wind:till the morning comes:truckin':friend of the devil:me and my uncle:candyman:big railroad blues:minglewood blues:black peter:beat it on down the line:morning dew:casey jones:dire wolf:china cat sunflower:i know you rider:
1970,12/27/70,truckin':mama tried:hard to handle:deep elem blues:sugar magnolia:brokedown palace:cumberland blues:hurts me too:me and my uncle:china cat sunflower:i know you rider:casey jones:good lovin':in the midnight hour:attics of my life:me and bobby mcgee:around and around:st. stephen:not fade away:goin' down the road feeling bad:turn on your love light::
1970,12/27/70,sunday quartet:silver threads:cold jordan:i hear a voice callin:swing low sweet chariot:
1970,12/28/70,cold rain and snow:truckin':it hurts me too:me and my uncle:beat it on down the line:china cat sunflower:i know you rider:cryptical envelopment:drums:the other one:cryptical envelopment:sugar magnolia:casey jones:smokestack lightning:big railroad blues:me and bobby mcgee:deep elem blues:cumberland blues:morning dew:good lovin':drums:good lovin':uncle john's band:
1970,12/31/70,truckin':monkey and the engineer:cold rain and snow:easy wind:me and my uncle:big railroad blues:cumberland blues:dire wolf:cryptical envelopment:drums:the other one:cryptical envelopment:black peter:sugar magnolia:china cat sunflower:i know you rider:smokestack lightning:good lovin':drums:good lovin':
1971,01/21/71,cold rain and snow:me and my uncle:smokestack lightning:truckin':dire wolf:hard to handle:sugar magnolia:black peter:around and around:cumberland blues:casey jones:cryptical envelopment:drums:the other one:cryptical envelopment:cosmic charlie:china cat sunflower:i know you rider:uncle john's band:
1971,02/18/71,bertha:truckin':it hurts me too:loser:greatest story ever told:johnny b. goode:mama tried:hard to handle:dark star:wharf rat:dark star:me and my uncle:casey jones:playin' in the band:me and bobby mcgee:candyman:big boss man:sugar magnolia:st. stephen:not fade away:goin' down the road feeling bad:not fade away:uncle john's band:
1971,02/19/71,truckin':loser:cumberland blues:it hurts me too:bertha:playin' in the band:dark hollow:smokestack lightning:china cat sunflower:i know you rider:greatest story ever told:johnny b. goode:bird song:easy wind:deal:cryptical envelopment:drums:the other one:wharf rat:good lovin':casey jones:
1971,02/20/71,casey jones:me and my uncle:hard to handle:bertha:playin' in the band:bird song:big boss man:cryptical envelopment:drums:the other one:wharf rat:sugar magnolia:truckin':loser:next time you see me:greatest story ever told:johnny b. goode:ripple:not fade away:goin' down the road feeling bad:not fade away:turn on your love light:
1971,02/21/71,cold rain and snow:me and bobby mcgee:loser:easy wind:playin' in the band:bertha:me and my uncle:ripple:next time you see me:sugar magnolia:greatest story ever told:johnny b. goode:china cat sunflower:i know you rider:bird song:cumberland blues:i'm a king bee:beat it on down the line:wharf rat:truckin':casey jones:good lovin':drums:good lovin':uncle john's band:
1971,02/23/71,uncle john's band:loser:playin' in the band:big boss man:china cat sunflower:i know you rider:me and bobby mcgee:bertha:next time you see me:around and around:morning dew:sugar magnolia:casey jones:me and my uncle:bird song:truckin':drums:the other one:wharf rat:greatest story ever told:good lovin':not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,02/24/71,casey jones:me and my uncle:cumberland blues:next time you see me:bird song:me and bobby mcgee:bertha:hard to handle:loser:playin' in the band:good lovin':drums:good lovin':sugar magnolia:i'm a king bee:greatest story ever told:johnny b. goode:deal:minglewood blues:truckin':not fade away:goin' down the road feeling bad:not fade away:turn on your love light:
1971,03/03/71,casey jones:hard to handle:playin' in the band:loser:me and bobby mcgee:next time you see me:beat it on down the line:bertha:me and my uncle:truckin':drums:the other one:wharf rat:sugar magnolia:i'm a king bee:greatest story ever told:johnny b. goode:good lovin':
1971,03/13/71,sugar magnolia:me and bobby mcgee:johnny b. goode:
1971,03/14/71,truckin':me and my uncle:it hurts me too:bertha:me and bobby mcgee:hard to handle:loser:good lovin':drums:good lovin':casey jones:sugar magnolia:wharf rat:greatest story ever told:johnny b. goode:uncle john's band::
1971,03/17/71,me and bobby mcgee:turn on your love light:
1971,03/18/71,casey jones:me and my uncle:big boss man:bertha:me and bobby mcgee:loser:china cat sunflower:i know you rider:the rub:playin' in the band:cumberland blues:truckin':the other one:drums:the other one:wharf rat:sugar magnolia:greatest story ever told:johnny b. goode:not fade away:goin' down the road feeling bad:caution (do not stop on tracks):feedback:uncle john's band:
1971,03/20/71,truckin':loser:hard to handle:playin' in the band:bertha:deal:me and my uncle:next time you see me:me and bobby mcgee:cumberland blues:big boss man:good lovin':casey jones:sugar magnolia:around and around:uncle john's band:turn on your love light::
1971,03/21/71,me and my uncle:hard to handle:loser:beat it on down the line:me and bobby mcgee:not fade away:goin' down the road feeling bad:not fade away:and we bid you goodnight:
1971,03/24/71,bertha:sugar magnolia:i'm a king bee:beat it on down the line:casey jones:hard to handle:greatest story ever told:johnny b. goode:next time you see me:loser:truckin':drums:the other one:playin' in the band:not fade away:goin' down the road feeling bad:not fade away:uncle john's band:
1971,04/04/71,bertha:me and my uncle:next time you see me:morning dew:playin' in the band:loser:easy wind:me and bobby mcgee:greatest story ever told:johnny b. goode:truckin':hard to handle:deal:sugar magnolia:casey jones:good lovin':goin' down the road feeling bad:st. stephen:not fade away:uncle john's band:
1971,04/05/71,cold rain and snow:me and bobby mcgee:the rub:loser:playin' in the band:big railroad blues:me and my uncle:big boss man:china cat sunflower:i know you rider:casey jones:truckin':drums:the other one:wharf rat:sugar magnolia:i'm a king bee:bertha:deal:sing me back home:not fade away:goin' down the road feeling bad:not fade away:turn on your love light:
1971,04/06/71,bertha:beat it on down the line:it hurts me too:me and bobby mcgee:dire wolf:oh boy:hog for you baby:playin' in the band:midnight hour:mama tried:cumberland blues:casey jones:greatest story ever told:johnny b. goode:loser:good lovin':drums:good lovin':sugar magnolia:not fade away:goin' down the road feeling bad:not fade away:truckin':
1971,04/07/71,me and my uncle:next time you see me:casey jones:playin' in the band:loser:me and bobby mcgee:hard to handle:sugar magnolia:china cat sunflower:i know you rider:st. stephen:drums:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,04/08/71,truckin':bertha:next time you see me:playin' in the band:loser:beat it on down the line:second that emotion:sugar magnolia:china cat sunflower:i know you rider:casey jones:dark star:st. stephen:not fade away:goin' down the road feeling bad:not fade away:sing me back home:cumberland blues:greatest story ever told:johnny b. goode:good lovin':drums:good lovin':
1971,04/10/71,casey jones:me and bobby mcgee:next time you see me:beat it on down the line:hard to handle:bertha:playin' in the band:deal:good lovin':truckin':
1971,04/12/71,cold rain and snow:me and my uncle:bertha:next time you see me:playin' in the band:loser:cumberland blues:hard to handle:greatest story ever told:johnny b. goode:truckin':drums:the other one:wharf rat:me and bobby mcgee:casey jones:sugar magnolia:deal:not fade away:goin' down the road feeling bad:turn on your love light::
1971,04/13/71,casey jones:mama tried:loser:big boss man:me and bobby mcgee:bertha:cumberland blues:big railroad blues:playin' in the band:hard to handle:sugar magnolia:truckin':drums:good lovin':second that emotion:greatest story ever told:johnny b. goode:uncle john's band:
1971,04/14/71,hard to handle:second that emotion:china cat sunflower:i know you rider:playin' in the band:greatest story ever told:the other one:dark star:st. stephen:me and bobby mcgee:
1971,04/15/71,big boss man:el paso:deal:playin' in the band:bertha:good lovin':next time you see me:sugar magnolia:second that emotion:truckin':not fade away:goin' down the road feeling bad:not fade away:casey jones:greatest story ever told:johnny b. goode:in the midnight hour:
1971,04/17/71,truckin':big railroad blues:big boss man:bird song:playin' in the band:hard to handle:loser:mama tried:casey jones:sugar magnolia:good lovin':drums:good lovin':me and bobby mcgee:deal:beat it on down the line:i'm a king bee:bertha:sing me back home:goin' down the road feeling bad:turn on your love light:
1971,04/18/71,cold rain and snow:me and my uncle:bertha:me and bobby mcgee:next time you see me:china cat sunflower:i know you rider:casey jones:sugar magnolia:second that emotion:truckin':hard to handle:loser:playin' in the band:around and around:good lovin':drums:good lovin':uncle john's band:
1971,04/21/71,casey jones:mama tried:big boss man:loser:truckin':drums:the other one:wharf rat:hard to handle:cumberland blues:bird song:me and bobby mcgee:bertha:sugar magnolia:good lovin':not fade away:goin' down the road feeling bad:not fade away:uncle john's band:johnny b. goode:
1971,04/22/71,bertha:me and my uncle:next time you see me:loser:playin' in the band:cumberland blues:hard to handle:deal:me and bobby mcgee:casey jones:china cat sunflower:i know you rider:greatest story ever told:beat it on down the line:sing me back home:good lovin':drums:good lovin':johnny b. goode:
1971,04/24/71,truckin':deal:hard to handle:me and bobby mcgee:bertha:playin' in the band:cumberland blues:next time you see me:loser:sugar magnolia:casey jones:good lovin':drums:good lovin':me and my uncle:sing me back home:greatest story ever told:johnny b. goode:not fade away:goin' down the road feeling bad:not fade away:uncle john's band:
1971,04/25/71,truckin':loser:hard to handle:me and bobby mcgee:cold rain and snow:the rub:china cat sunflower:i know you rider:casey jones:morning dew:beat it on down the line:next time you see me:bertha:sugar magnolia:second that emotion:good lovin':drums:good lovin':sing me back home:not fade away:goin' down the road feeling bad:not fade away:
1971,04/26/71,bertha:me and my uncle:big boss man:loser:playin' in the band:hard to handle:dark star:wharf rat:casey jones:sugar magnolia:it hurts me too:beat it on down the line:china cat sunflower:i know you rider:deal:mama tried:good lovin':drums:good lovin':sing me back home:not fade away:goin' down the road feeling bad:not fade away:
1971,04/27/71,truckin':mama tried:bertha:next time you see me:cumberland blues:me and bobby mcgee:loser:hard to handle:china cat sunflower:i know you rider:casey jones:sugar magnolia:deal:me and my uncle:bird song:playin' in the band:dire wolf:searchin':riot in ceil block #9:help me rhonda:okie from muskogee:johnny b. goode:sing me back home:uncle john's band:turn on your love light:
1971,04/28/71,truckin':beat it on down the line:loser:el paso:the rub:bird song:playin' in the band:cumberland blues:ripple:me and bobby mcgee:i'm a king bee:bertha:morning dew:me and my uncle:deal:hard to handle:cryptical envelopment:drums:the other one:wharf rat:sugar magnolia:dark star:st. stephen:not fade away:goin' down the road feeling bad:not fade away:
1971,04/29/71,truckin':bertha:it hurts me too:cumberland blues:me and my uncle:bird song:playin' in the band:loser:dark hollow:hard to handle:ripple:me and bobby mcgee:casey jones:morning dew:minglewood blues:sugar magnolia:black peter:beat it on down the line:second that emotion:alligator:drums:alligator:goin' down the road feeling bad:cold rain and snow:china cat sunflower:i know you rider:greatest story ever told:johnny b. goode:uncle john's band:midnight hour:and we bid you goodnight:
1971,05/29/71,casey jones:me and bobby mcgee:it hurts me too:promised land:loser:playin' in the band:hard to handle:me and my uncle:truckin':drums:the other one:wharf rat:sing me back home:cumberland blues:sugar magnolia:deal:not fade away:goin' down the road feeling bad:not fade away:
1971,05/30/71,bertha:me and bobby mcgee:the rub:loser:playin' in the band:next time you see me:morning dew:promised land:good lovin':china cat sunflower:i know you rider:sugar magnolia:cumberland blues:me and my uncle:deal:truckin':turn on your love light:uncle john's band:casey jones:johnny b. goode:
1971,06/21/71,truckin':hard to handle:deal:china cat sunflower:i know you rider:morning dew:long black limousine:playin' in the band:big boss man:black peter:bertha:casey jones:cryptical envelopment:drums:the other one:wharf rat:sugar magnolia:sing me back home:johnny b. goode:
1971,07/02/71,bertha:me and bobby mcgee:next time you see me:china cat sunflower:i know you rider:playin' in the band:loser:the rub:me and my uncle:big railroad blues:hard to handle:deal:promised land:good lovin':sugar magnolia:sing me back home:mama tried:cryptical envelopment:drums:the other one:big boss man:casey jones:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,07/31/71,truckin':sugaree:mr. charlie:mama tried:big railroad blues:hard to handle:loser:playin' in the band:dark star:bird song:el paso:me and bobby mcgee:bertha:big boss man:me and my uncle:deal:china cat sunflower:i know you rider:sing me back home:sugar magnolia:casey jones:not fade away:goin' down the road feeling bad:darkness jam:not fade away:uncle john's band:johnny b. goode:
1971,08/05/71,bertha:me and my uncle:mr. charlie:sugaree:el paso:cryptical envelopment:drums:the other one:wharf rat:me and bobby mcgee:casey jones:truckin':loser:sugar magnolia:bird song:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,08/06/71,bertha:playin' in the band:loser:mr. charlie:cumberland blues:brokedown palace:me and bobby mcgee:hard to handle:casey jones:st. stephen:truckin':drums:the other one:me and my uncle:the other one:deal:sugar magnolia:morning dew:turn on your love light:
1971,08/14/71,bertha:me and my uncle:mr. charlie:sugaree:el paso:big railroad blues:big boss man:brokedown palace:playin' in the band:hard to handle:cumberland blues:loser:promised land:truckin':drums:the other one:me and bobby mcgee:sugar magnolia:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:uncle john's band:
1971,08/15/71,big railroad blues:playin' in the band:mr. charlie:cumberland blues:sugaree:promised land:big boss man:china cat sunflower:i know you rider:me and bobby mcgee:casey jones:truckin':drums:the other one:me and my uncle:the other one:wharf rat:turn on your love light:johnny b. goode:and we bid you goodnight:
1971,08/23/71,uncle john's band:sugaree:playin' in the band:mr. charlie:loser:el paso:it hurts me too:cumberland blues:beat it on down the line:brown-eyed women:me and my uncle:casey jones:st. stephen:not fade away:goin' down the road feeling bad:not fade away:sing me back home:truckin':big railroad blues:me and bobby mcgee:brokedown palace:big boss man:sugar magnolia:
1971,08/24/71,big railroad blues:playin' in the band:mr. charlie:sugaree:el paso:next time you see me:bertha:me and bobby mcgee:big boss man:loser:bird song:cryptical envelopment:drums:the other one:me and my uncle:the other one:wharf rat:cold rain and snow:deal:brokedown palace:empty pages:brown-eyed women:good lovin':
1971,08/26/71,bertha:playin' in the band:mr. charlie:sugaree:el paso:big boss man:big railroad blues:hard to handle:beat it on down the line:loser:sugar magnolia:empty pages:good lovin':casey jones:me and my uncle:china cat sunflower:i know you rider:deal:cumberland blues:truckin':drums:the other one:next time you see me:me and bobby mcgee:uncle john's band:st. stephen:not fade away:goin' down the road feeling bad:not fade away:
1971,10/19/71,bertha:me and my uncle:sugaree:beat it on down the line:cumberland blues:tennessee jed:black peter:jack straw:big railroad blues:brown-eyed women:mexicali blues:comes a time:playin' in the band:one more saturday night:casey jones:truckin':ramble on rose:me and bobby mcgee:brokedown palace:cryptical envelopment:drums:the other one:cryptical envelopment:wharf rat:sugar magnolia:uncle john's band:not fade away:goin' down the road feeling bad:not fade away:
1971,10/21/71,truckin':loser:beat it on down the line:tennessee jed:playin' in the band:big railroad blues:jack straw:cumberland blues:comes a time:mexicali blues:the frozen logger:cold rain and snow:one more saturday night:casey jones:me and my uncle:el paso:dark star:sitting on top of the world:dark star:me and bobby mcgee:brown-eyed women:ramble on rose:sugar magnolia:not fade away:goin' down the road feeling bad:not fade away:st. stephen:johnny b. goode:
1971,10/22/71,el paso:truckin':drums:the other one:sitting on top of the world:the other one:not fade away:goin' down the road feeling bad:not fade away:
1971,10/23/71,bertha:playin' in the band:loser:mexicali blues:sugaree:jack straw:big railroad blues:el paso:ramble on rose:me and bobby mcgee:cumberland blues:brokedown palace:one more saturday night:casey jones:me and my uncle:tennessee jed:sugar magnolia:comes a time:truckin':brown-eyed women:not fade away:goin' down the road feeling bad:not fade away:
1971,10/24/71,sugar magnolia:deal:el paso:tennessee jed:jack straw:china cat sunflower:i know you rider:playin' in the band:black peter:candyman:one more saturday night:casey jones:truckin':ramble on rose:mexicali blues:dark star:me and bobby mcgee:cumberland blues:st. stephen:johnny b. goode::
1971,10/26/71,bertha:playin' in the band:sugaree:me and my uncle:tennessee jed:big railroad blues:me and bobby mcgee:cumberland blues:cold rain and snow:mexicali blues:loser:beat it on down the line:el paso:comes a time:one more saturday night:ramble on rose:sugar magnolia:truckin':drums:the other one:johnny b. goode:
1971,10/27/71,casey jones:me and my uncle:deal:jack straw:tennessee jed:beat it on down the line:sugaree:playin' in the band:comes a time:mexicali blues:the frozen logger:big railroad blues:cumberland blues:one more saturday night:bertha:me and bobby mcgee:ramble on rose:sugar magnolia:truckin':drums:the other one:not fade away:goin' down the road feeling bad:not fade away:
1971,10/29/71,truckin':sugaree:el paso:loser:playin' in the band:brown-eyed women:beat it on down the line:brokedown palace:jack straw:tennessee jed:mexicali blues:big railroad blues:casey jones:cryptical envelopment:drums:the other one:me and my uncle:the other one:cryptical envelopment:deal:sugar magnolia:ramble on rose:not fade away:goin' down the road feeling bad:not fade away:one more saturday night:
1971,10/30/71,bertha:me and my uncle:sugaree:beat it on down the line:loser:playin' in the band:tennessee jed:jack straw:big railroad blues:me and bobby mcgee:brown-eyed women:one more saturday night:casey jones:mexicali blues:comes a time:el paso:ramble on rose:sugar magnolia:truckin':not fade away:goin' down the road feeling bad:not fade away:
1971,10/31/71,bertha:me and my uncle:deal:playin' in the band:loser:el paso:tennessee jed:jack straw:big railroad blues:brown-eyed women:mexicali blues:casey jones:cumberland blues:one more saturday night:dark star:sugar magnolia:st. stephen:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,11/06/71,bertha:me and my uncle:sugaree:jack straw:tennessee jed:el paso:loser:playin' in the band:cumberland blues:black peter:beat it on down the line:deal:mexicali blues:sing me back home:one more saturday night:ramble on rose:me and bobby mcgee:cryptical envelopment:drums:the other one:cryptical envelopment:comes a time:sugar magnolia:brown-eyed women:not fade away:goin' down the road feeling bad:not fade away:
1971,11/07/71,truckin':brown-eyed women:beat it on down the line:hideaway:sugaree:jack straw:tennessee jed:cumberland blues:el paso:big railroad blues:comes a time:mexicali blues:one more saturday night:ramble on rose:me and bobby mcgee:loser:sugar magnolia:dark star:drums:the other one:me and my uncle:the other one:deal:brokedown palace:playin' in the band:casey jones:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:uncle john's band:
1971,11/11/71,bertha:me and my uncle:sugaree:playin' in the band:tennessee jed:jack straw:casey jones:me and bobby mcgee:big railroad blues:mexicali blues:one more saturday night:truckin':sugar magnolia:not fade away:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,11/12/71,truckin':loser:beat it on down the line:sugaree:jack straw:tennessee jed:el paso:brown-eyed women:mexicali blues:black peter:one more saturday night:ramble on rose:me and my uncle:cryptical envelopment:drums:the other one:big railroad blues:sugar magnolia:casey jones:johnny b. goode:
1971,11/14/71,bertha:beat it on down the line:china cat sunflower:i know you rider:el paso:sugaree:jack straw:big railroad blues:me and bobby mcgee:loser:playin' in the band:tennessee jed:you win again:mexicali blues:casey jones:one more saturday night:truckin':drums:the other one:me and my uncle:the other one:wharf rat:sugar magnolia:johnny b. goode:
1971,11/15/71,truckin':bertha:playin' in the band:deal:jack straw:loser:beat it on down the line:dark star:el paso:dark star:casey jones:one more saturday night:me and my uncle:ramble on rose:mexicali blues:brokedown palace:me and bobby mcgee:cumberland blues:sugar magnolia:you win again:not fade away:china cat sunflower jam:goin' down the road feeling bad:not fade away:johnny b. goode:
1971,11/17/71,truckin':sugaree:beat it on down the line:tennessee jed:el paso:big railroad blues:jack straw:deal:playin' in the band:cumberland blues:me and bobby mcgee:you win again:mexicali blues:casey jones:one more saturday night:sugar magnolia:cryptical envelopment:drums:the other one:me and my uncle:the other one:wharf rat:not fade away:goin' down the road feeling bad:not fade away:ramble on rose:
1971,11/20/71,bertha:me and my uncle:sugaree:beat it on down the line:tennessee jed:mexicali blues:brown-eyed women:el paso:big railroad blues:jack straw:cumberland blues:playin' in the band:casey jones:one more saturday night:truckin':drums:the other one:ramble on rose:sugar magnolia:you win again:not fade away:china cat sunflower jam:goin' down the road feeling bad:not fade away:
